id,nombre,precio,descripcion,url_imagen,categoria,me_gusta,recomendado_para
1,Smartphone X,299.99,Smartphone de alta gama,https://oechsle.vteximg.com.br/arquivos/ids/12625942-1000-1000/image-cf4c86b0499548b1a0a6624b99517aa4.jpg?v=638050458317470000,Electronica,250,hombre
2,Portátil Y,499.99,Portátil ligero,https://peru.solutekla.com/photo/1/hp/portatiles/portatil_core_i5_8gb/portatil_core_i5_8gb_0001,Electronica,300,mujer
3,Auriculares Z,59.99,Auriculares con cancelación de ruido,https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/19/475170fa-bf61-4ea1-8eb3-8f094c42b6e6.jpg,Accesorios,150,hombre
4,Licuadora Pro,29.99,Licuadora potente,https://production-tailoy-repo-magento-statics.s3.amazonaws.com/imagenes/872x872/productos/i/l/i/licuadora-oster-15-l-2-velocidades-blstkagwrd-blanco-61409-default-1.jpg,Hogar,120,mujer
5,Reloj Inteligente Alpha,199.99,Reloj inteligente con seguimiento de fitness,https://promart.vteximg.com.br/arquivos/ids/7118854-1000-1000/image-526c21fcc2fc40c49ca858cbfb26954d.jpg?v=638223677021000000,Electrónica,210,hombre
6,Tablet Beta,399.99,Tablet de 10 pulgadas,https://i5.walmartimages.com/seo/2022-Apple-10-9-inch-iPad-Wi-Fi-64GB-Pink-10th-Generation_4fdae443-4f60-4a3e-9efe-12758bf5f128.f4d7333626b4e6b27e8be25d1f698373.jpeg,Electrónica,180,mujer
7,Cafetera Espresso,149.99,Máquina de café espresso,https://lacuisineappliances.pe/wp-content/uploads/2022/07/ECF01PKEU-220.webp,Hogar,160,mujer
8,Consola de Videojuegos,499.99,Consola de videojuegos de nueva generación,https://jotastore.pe/wp-content/uploads/2024/06/Consola-GD10-Pro-1.jpg.webp,Electronica,400,hombre
9,Televisor 4K,799.99,Televisor Ultra HD,https://home.ripley.com.pe/Attachment/WOP_5/2018290224318/2018290224318_2.jpg,Electronica,350,hombre0
10,Ratón Inalámbrico,29.99,Ratón inalámbrico ergonómico,https://www.sercoplus.com/20638-medium_default/mouse-inalambrico-logitech-m187-mini-pin.jpg,Accesorios,90,mujer
11,Hervidor Eléctrico,39.99,Hervidor de agua rápido,https://m.media-amazon.com/images/I/51cY5zDwUaL.jpg,Hogar,130,mujer
12,Pulsera de Fitness,99.99,Pulsera de monitoreo de salud,https://s.alicdn.com/@sc04/kf/Hc1026fed1e794aa88ebbacc1b879e9b2c.jpg_720x720q50.jpg,Accesorios,170,hombre
13,Freidora de Aire,89.99,Cocción sin aceite,https://i5.walmartimages.com.mx/mg/gm/3pp/asr/30c1b571-8617-47e6-93e7-1f3857388a8f.4294d20a79490f9dc449b693f782de96.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,Hogar,140,mujer
14,Cámara Digital,599.99,Cámara de alta resolución,https://oechsle.vteximg.com.br/arquivos/ids/14243371-1000-1000/image-d36db000752f48e980a8c2a88e5306bc.jpg?v=638155756197200000,Electronica,210,hombre
